hip_number,name,right_ascension,declination,visual_magnitude
32349,Sirius,6.4509,-16.4247,-1.44
30438,Canopus,6.2357,-52.4144,-0.62
69673,Arcturus,14.1540,19.1114,-0.05
71683,Rigil Kent,14.3940,-60.5006,-0.01
91262,Vega,18.3656,38.4658,0.03
24608,Capella,5.1641,45.5956,0.08
24436,Rigel,5.1432,-08.1205,0.18
37279,Procyon,7.3918,5.1339,0.4
7588,Achernar,1.3742,-57.1411,0.45
27989,Betelgeuse,5.5510,7.2425,0.45
68702,Agena,14.0349,-60.2222,0.61
97649,Altair,19.5046,8.5202,0.76
60718,Acrux,12.2635,-63.0556,0.77
21421,Aldebaran,4.3555,16.3035,0.87
65474,Spica,13.2511,-11.0940,0.98
80763,Antares,16.2924,-26.2555,1.06
37826,Pollux,7.4519,28.0134,1.16
113368,Fomalhaut,22.5738,-29.3718,1.17
62434,Becrux,12.4743,-59.4119,1.25
102098,Deneb,20.4125,45.1649,1.25
49669,Regulus,10.0822,11.5801,1.36
